feature,lgbm,xgb,mean
rsi_slope,675,0.043654215,337.5218271072954
dist_swing_low,465,0.05707637,232.52853818424046
dist_swing_high,464,0.06004124,232.0300206206739
hour,414,0.02218784,207.01109392009676
di_diff,396,0.013678713,198.00683935638517
macd_hist_slope,392,0.012802317,196.0064011584036
bb_pct,360,0.049702954,180.02485147677362
ema_20_dist,352,0.016930243,176.0084651215002
range_atr,315,0.010631319,157.5053156595677
atr_pct,311,0.010878564,155.50543928192928
macd_hist,299,0.01018353,149.50509176496416
log_ret,292,0.009676222,146.00483811087906
vol_ratio,284,0.012395892,142.00619794614613
ema_20_slope,249,0.010020452,124.50501022581011
dist_high_24,246,0.010290075,123.00514503754675
adx_14,246,0.0074872226,123.00374361127615
ema_200_dist,238,0.0090818005,119.00454090023413
rsi_7,228,0.3597236,114.17986179888248
bb_width,223,0.008293795,111.50414689769968
vol_12,209,0.009896016,104.50494800787419
dist_low_24,196,0.010684039,98.00534201972187
dist_low_100,196,0.00959024,98.0047951200977
dist_high_100,187,0.007139253,93.5035696264822
dist_high_48,179,0.009642987,89.50482149329036
dist_low_48,177,0.008195192,88.50409759581089
vol_48,175,0.008553126,87.50427656294778
ema_50_slope,170,0.0094291745,85.00471458723769
dist_pivot,160,0.007800341,80.00390017055906
rsi_14,140,0.008662942,70.00433147093281
macd_signal,137,0.0076654125,68.50383270625025
month,133,0.009220937,66.50461046863347
rsi_21,118,0.008869409,59.00443470431492
ema_50_dist,110,0.008120791,55.00406039552763
macd,90,0.007140307,45.00357015361078
day_of_week,89,0.00955632,44.50477815978229
ema_alignment,18,0.0067501315,9.003375065745786
overlap_session,15,0.0043028165,7.5021514082327485
ny_session,14,0.008778987,7.004389493726194
london_session,13,0.007444231,6.503722115419805
trend_regime,9,0.014186032,4.507093016058207
bb_squeeze,6,0.010781143,3.0053905714303255
high_vol,3,0.0070223664,1.5035111831966788
bull_div,3,0.0066729323,1.5033364661503583
bear_div,3,0.004170824,1.5020854119211435
macd_bear,1,0.0069781668,0.5034890833776444
golden_cross,0,0.010934584,0.005467291921377182
death_cross,0,0.010680495,0.005340247415006161
near_resistance,0,0.010214119,0.005107059609144926
macd_bull,0,0.0072322763,0.0036161381285637617
near_support,0,0.0048669903,0.002433495130389929
rsi_os,0,0.0040810383,0.0020405191462486982
adx_trending,0,0.0,0.0
rsi_ob,0,0.0,0.0
pct_change,0,0.0,0.0
